name,points,value,pos,team_code,type
AdemolaLookman,4.54441923461421,5.0,3.0,54,player
BenjaminChilwell,5.03567642204457,6.2,2.0,8,player
BrunoMiguelBorgesFernandes,7.600781028300089,11.0,3.0,1,player
DominicCalvertLewin,19.734913823602874,7.9,4.0,11,player
EmilianoMartínez,5.495233593826342,4.9,1.0,7,player
HarryKane,21.151333705234837,11.0,4.0,6,player
JackGrealish,8.332560687196587,7.8,3.0,7,player
MohamedSalah,8.21389306383835,12.4,3.0,14,player
PatrickBamford,16.7425841780328,6.3,4.0,2,player
StuartDallas,4.1181556693039445,4.6,2.0,2,player
TyroneMings,5.076490872372143,5.3,2.0,7,player
AlexMcCarthy,4.492904939315161,4.6,1.0,20,sub
CharlieTaylor,3.634113725963714,4.4,2.0,90,sub
CurtisJones,2.348225725862376,4.4,3.0,14,sub
MaxKilman,1.8635788871457402,4.2,2.0,39,sub
