name,points,value,pos,team_code,type
AdemolaLookman,4.583075998,5.0,3,54,player
BrunoMiguelBorgesFernandes,8.223634012,11.3,3,1,player
CallumWilson,12.66944938,6.6,4,4,player
HarryKane,19.96516564,11.0,4,6,player
HeungMinSon,6.040802225,9.8,3,6,player
JamesTarkowski,3.739431114,5.3,2,90,player
JoãoPedroCavacoCancelo,4.503930377,5.8,2,43,player
MarcusRashford,5.568256063,9.6,3,1,player
NealMaupay,11.80039219,6.1,4,36,player
NickPope,4.836583493,5.4,1,90,player
RúbenSantosGatoAlvesDias,4.331435902,5.8,2,43,player
AndréFrankZamboAnguissa,2.542939927,4.5,3,54,sub
AntoneeRobinson,3.023935287,4.4,2,54,sub
BerndLeno,3.734556705,4.9,1,3,sub
CharlieTaylor,3.190336592,4.5,2,90,sub
