,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,43,Sub,Manchester City,Leeds,1,2,2021-04-10,14740,2020,460959,0,0,0,0,0,0,0
1,0,0,0,90,DC,Fulham,Leeds,1,2,2021-03-19,14718,2020,457862,0,0,0,0,0,0,0
2,0,0,0,90,DC,Leeds,Chelsea,0,0,2021-03-13,14709,2020,456090,0,0,0,0,0,0.10147872567176819,0.10147872567176819
3,0,0,0,54,DMC,Leeds,Aston Villa,0,1,2021-02-27,14691,2020,452503,0,0,0,0,0,0.09430786967277527,0.09430786967277527
4,0,0,0,90,DC,Leeds,Southampton,3,0,2021-02-23,14608,2020,451747,0,0,0,0,0,0.20239359140396118,0.20239359140396118
5,0,2,0.14659680426120758,90,DC,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450388,0,0,0,0,0.14659680426120758,0.012216409668326378,0.012216409668326378
6,1,1,0.08363763242959976,90,DMC,Arsenal,Leeds,4,2,2021-02-14,14665,2020,449804,0,0,0,1,0.08363763242959976,0.4408819079399109,0.4408819079399109
7,0,3,1.107582926750183,90,DC,Leeds,Crystal Palace,2,0,2021-02-08,14658,2020,448675,0,0,0,0,1.107582926750183,0.14031453430652618,0.14031453430652618
8,0,1,0.08651728928089142,90,DC,Leeds,Everton,1,2,2021-02-03,14648,2020,447006,0,0,0,0,0.08651728928089142,0.041079990565776825,0.041079990565776825
9,0,0,0,90,DC,Leicester,Leeds,1,3,2021-01-31,14643,2020,446127,0,0,0,0,0,0.8309317231178284,0.8309317231178284
10,0,0,0,81,Sub,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444975,0,0,0,0,0,0.059039339423179626,0.059039339423179626
11,0,0,0,90,DMC,Leeds,Brighton,0,1,2021-01-16,14618,2020,442304,0,0,0,0,0,0,0
12,0,0,0,90,DC,Tottenham,Leeds,3,0,2021-01-02,14599,2020,438912,0,0,0,0,0,0.1537565439939499,0.1537565439939499
13,0,0,0,90,DC,West Bromwich Albion,Leeds,0,5,2020-12-29,14590,2020,438473,0,0,0,0,0,1.3697378635406494,1.3697378635406494
14,0,0,0,90,DC,Leeds,Burnley,1,0,2020-12-27,14578,2020,438214,0,0,0,0,0,0.3149057626724243,0.3149057626724243
15,0,1,0.030933989211916924,42,Sub,Manchester United,Leeds,6,2,2020-12-20,14570,2020,436870,0,0,0,0,0.030933989211916924,0.32002297043800354,0.32002297043800354
16,0,1,0.1266293227672577,73,MC,Crystal Palace,Leeds,4,1,2020-11-07,14508,2020,426329,0.022440355271100998,0,1,0,0.1266293227672577,0.2877243757247925,0.2877243757247925
17,0,0,0,20,MC,Aston Villa,Leeds,0,3,2020-10-23,14486,2020,422510,0,0,0,0,0,0.11528844386339188,0.11528844386339188
18,0,0,0,77,DC,Leeds,Wolverhampton Wanderers,0,1,2020-10-19,14478,2020,422405,0,0,0,0,0,0,0
19,0,0,0,90,DC,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414690,0,0,0,0,0,0,0
